
   INFO  Server running on [http://127.0.0.1:8000].

  Press Ctrl+C to stop the server
  2026-05-18 21:24:37 /build/assets/app-2F8C9h0l.css ............... ~ 0.03ms
  2026-05-18 21:24:37 /build/assets/app-DwndY7BJ.js ................ ~ 0.12ms
  2026-05-18 21:24:37 /build/assets/dist-B7FiFQNU.js ............... ~ 0.24ms
  2026-05-18 21:24:37 /build/assets/button-BnY6FpaQ.js ............. ~ 0.37ms
  2026-05-18 21:24:37 /build/assets/utils-DJzYoSQ7.js .............. ~ 0.50ms
  2026-05-18 21:24:37 /build/assets/jsx-runtime-ir_6mnqC.js ........ ~ 0.77ms
  2026-05-18 21:24:37 /build/assets/es2015-CF0CX6Js.js ............. ~ 0.88ms
  2026-05-18 21:24:37 /build/assets/dist-B3tsUb2-.js ............... ~ 0.07ms
  2026-05-18 21:24:37 /build/assets/createLucideIcon-CHbaUKu-.js ... ~ 0.24ms
  2026-05-18 21:24:37 /build/assets/wayfinder-BzVrPs20.js .......... ~ 0.31ms
  2026-05-18 21:24:37 /build/assets/setup-D9wRgeBX.js .............. ~ 0.41ms
  2026-05-18 21:24:37 /build/assets/label-6rIVHme-.js .............. ~ 0.54ms
  2026-05-18 21:24:37 /build/assets/password-input-Dznm1OER.js ..... ~ 0.50ms
  2026-05-18 21:24:37 /build/assets/input-error-DHxN4pRG.js ........ ~ 0.56ms
  2026-05-18 21:24:37 /build/assets/spinner-BndnXMwk.js ............ ~ 0.04ms
  2026-05-18 21:24:37 /build/assets/loader-circle-CyUoU6Jr.js ...... ~ 0.16ms
  2026-05-18 21:25:26 /login ....................................... ~ 0.12ms
  2026-05-18 21:25:26 /setup ....................................... ~ 0.04ms
  2026-05-18 21:25:26 /build/assets/app-2F8C9h0l.css ............... ~ 0.03ms
  2026-05-18 21:25:26 /build/assets/dist-B7FiFQNU.js ............... ~ 0.06ms
  2026-05-18 21:25:26 /build/assets/app-DwndY7BJ.js ................ ~ 0.33ms
  2026-05-18 21:25:26 /build/assets/button-BnY6FpaQ.js ............. ~ 0.46ms
  2026-05-18 21:25:26 /build/assets/utils-DJzYoSQ7.js .............. ~ 0.60ms
  2026-05-18 21:25:26 /build/assets/es2015-CF0CX6Js.js ............. ~ 0.73ms
  2026-05-18 21:25:26 /build/assets/jsx-runtime-ir_6mnqC.js ........ ~ 0.90ms
  2026-05-18 21:25:26 /build/assets/dist-B3tsUb2-.js ............... ~ 0.06ms
  2026-05-18 21:25:26 /build/assets/createLucideIcon-CHbaUKu-.js ... ~ 0.34ms
  2026-05-18 21:25:26 /build/assets/wayfinder-BzVrPs20.js .......... ~ 0.42ms
  2026-05-18 21:25:26 /build/assets/setup-D9wRgeBX.js .............. ~ 0.54ms
  2026-05-18 21:25:26 /build/assets/label-6rIVHme-.js .............. ~ 0.67ms
  2026-05-18 21:25:26 /build/assets/password-input-Dznm1OER.js ..... ~ 0.55ms
  2026-05-18 21:25:26 /build/assets/input-error-DHxN4pRG.js ........ ~ 0.70ms
  2026-05-18 21:25:26 /build/assets/spinner-BndnXMwk.js ............ ~ 0.05ms
  2026-05-18 21:25:26 /build/assets/loader-circle-CyUoU6Jr.js ...... ~ 0.18ms
  2026-05-18 21:26:25 /login ....................................... ~ 0.21ms
  2026-05-18 21:26:25 /setup ....................................... ~ 0.04ms
  2026-05-18 21:26:25 /build/assets/app-2F8C9h0l.css ............... ~ 0.13ms
  2026-05-18 21:26:25 /build/assets/app-DwndY7BJ.js ................ ~ 0.34ms
  2026-05-18 21:26:25 /build/assets/dist-B7FiFQNU.js ............... ~ 1.22ms
  2026-05-18 21:26:25 /build/assets/button-BnY6FpaQ.js ............. ~ 1.53ms
  2026-05-18 21:26:25 /build/assets/utils-DJzYoSQ7.js .............. ~ 1.72ms
  2026-05-18 21:26:25 /build/assets/jsx-runtime-ir_6mnqC.js ........ ~ 2.00ms
  2026-05-18 21:26:25 /build/assets/es2015-CF0CX6Js.js ............. ~ 2.35ms
  2026-05-18 21:26:25 /build/assets/dist-B3tsUb2-.js ............... ~ 0.08ms
  2026-05-18 21:26:25 /build/assets/createLucideIcon-CHbaUKu-.js ... ~ 0.24ms
  2026-05-18 21:26:25 /build/assets/wayfinder-BzVrPs20.js .......... ~ 0.31ms
  2026-05-18 21:26:25 /build/assets/setup-D9wRgeBX.js .............. ~ 0.49ms
  2026-05-18 21:26:25 /build/assets/label-6rIVHme-.js .............. ~ 0.63ms
  2026-05-18 21:26:25 /build/assets/password-input-Dznm1OER.js ..... ~ 0.07ms
  2026-05-18 21:26:25 /build/assets/input-error-DHxN4pRG.js ........ ~ 0.16ms
  2026-05-18 21:26:25 /build/assets/spinner-BndnXMwk.js ............ ~ 0.26ms
  2026-05-18 21:26:25 /build/assets/loader-circle-CyUoU6Jr.js ...... ~ 0.39ms
  2026-05-18 21:27:22 /login ....................................... ~ 0.13ms
  2026-05-18 21:27:22 /setup ....................................... ~ 0.03ms
